DateTime	UAStime	CONCN	COUNT	ABSRA	ABSRB	ABSGA	ABSGB	ABSBA	ABSBB	CHMPS	AT	RH	BATTV	OPCB4	OPCB5	OPCB6	OPCB7	OPCB8	PROBT	PRBRH	SMPFL	SMPFP	SATFL	SATFP	ABSFL	ABSFP	CHMFL	CHMFP	OPCFL	OPCFP	OPTCT	OPTCP	CONDT	CONDP	SATTT	SATTP	SATBT	SATBP	INLTT	FILLC	CABNT	CABNP	PRESS	MCPCPWR	ABSLED	CHEMPOS	MPUMP	APUMP	CPUMP	OPUMP	SAMPRPT	STATRPT	RPTLABEL	SAMPFLOW	SATFLOW	ABSFLOW	CHEMFLOW	OPCFLOW	POP
2015-04-21 07:39:32	27572	102.0	625	428798	473224	484133	552695	416357	485624	1	-3.20	52.70	12.0	0	0	0	0	0	-39.9	0	362	113	352	62	1600	150	2010	200	180.0	110	25.1	52	15.1	130	34.6	200	34.8	200	12.9	354	14.7	0	1003																POPS,20150421T073930.944,1, 589.00,   1.00,1008.00,   0    NaN,  18, 14619,   4,   0,   0
2015-04-21 07:39:33	27573	77.5	487	429294	473766	484076	552632	416612	485928	1	-3.22	52.60	12.0	0	0	0	0	0	-39.9	0	375	112	361	62	1597	150	1988	200	180.2	110	25.2	26	15.1	130	34.7	200	34.9	200	12.9	356	14.7	0	1004																POPS,20150421T073931.943,1, 528.00,   1.00,1003.00,   0.   NaN,  17, 124,9,   5,   0,   0
2015-04-21 07:39:34	27574	116.0	709	429101	473556	484330	552922	417155	486563	1	-3.22	52.60	12.0	0	0	0	0	0	-39.9	0	377	111	350	63	1602	150	2000	200	180.6	110	25.1	52	15.1	130	34.8	200	35.0	200	12.8	358	14.8	0	1004																POPS,20150421T073932.943,1, 584.00,006.00,   0.00,    NaN,  14, 137, 208, 188,  33,   3,   1,   0
2015-04-21 07:39:36	27576	146.0	845	429395	473885	484099	552659	417029	486416	1	-3.23	52.50	12.0	0	0	0	0	0	-39.9	0	338	112	365	63	1600	150	2020	200	180.1	110	2POP=POPS,20150421T0731,	52	15.1	130	34.8	200	35.1	200	12.9	360	14.8	0	1004																POPS,20150421T073933.942,1, 546.00,   1.00,1005.00,   0.00,  N,  13, 137, 189,3,   0,   0
2015-04-21 07:39:38	27578	112.0	694	429269	473742	484046	552600	416735	486070	1	-3.23	52.47	12.0	0	0	0	0	0	-39.9	0	364	111	367	62	1600	150	2012	200	180.4	110	25.1	52	15.1	130	35.0	200	35.3	200	12.9	366	14.8	0	1004																POPS,20150421T07393 613.00,   1.00,1  0.00,    NaN,    NaN,  17, 151, 184, 223,  32,   4,
2015-04-21 07:39:40	27580	178.0	981	429220	473692	484018	552566	416897	486268	1	-3.24	52.39	12.0	0	0	0	0	0	-39.9	0	353	111	367	64	1600	150	2035	200	180.4	110	25.1	52	15.1	130	35.2	200	35.5	200	12.9	370	14.9	0	1004																POPS,20150421T073938.943,0,   1.00,1007.00,    NaN,    NaN,  14, 117, 196, 200,  37,   0,   1,
2015-04-21 07:39:42	27582	109.0	680	428833	473264	483244	551687	416477	485778	1	-3.25	52.24	11.9	0	0	0	0	0	-39.9	0	372	112	342	63	1599	150	2001	200	179.7	110	25.1	126	15.2	130	35.4	200	35.6	200	12.9	374	14.8	0	1004																POPS,20150421T073940.900,   1.00,1007.00,    NaN,    NaN,  11, 122, 202, 178,  24,   1,   0,
2015-04-21 07:39:44	27584	171.0	993	428794	473222	483199	551636	416432	485723	1	-3.25	52.18	11.9	0	0	0	0	0	-39.9	0	348	112	366	64	1600	152	1977	200	179.2	112	25.1	126	15.2	130	35.5	200	35.8	200	12.9	378	14.9	0	1004																POPS,20150421T0739, 550.00,   1.00,  26.00,    NaN,    NaN,  11, 116, 202, 181,  33,   4,
2015-04-21 07:39:46	27586	109.0	701	428871	473311	483058	551472	416496	485801	1	-3.24	52.07	11.9	0	0	0	0	0	-39.9	0	373	114	331	63	1605	152	1979	200	180.7	112	25.1	126	15.2	130	35.7	200	35.9	200	12.9	382	14.9	0	1004																POPS,20150421T073944.99.00,   1.00,1005.00,    NaN,    NaN,  19, 123, 185, 186,  33,   3,   0,
2015-04-21 07:39:48	27588	166.0	987	428616	473028	483181	551627	416736	486088	1	-3.23	52.02	11.9	0	0	0	0	0	-39.9	0	354	113	368	64	1605	152	1969	200	180.5	112	25.1	126	15.2	130	35.8	200	36.1	200	12.9	386	14.9	0	1004																POPS,20150421T07394570.00,   1.00,1026.00,    NaN,    NaN,  19, 125, 193, 205,  25,   3,
